Day,Hour,Price,Occupancy_R1,Occupancy_R2,Temp_Room1,Temp_Room2,Power_Heater1,Power_Heater2,Ventilation_On,Humidity
1,0,5.831303587171684,32.969097664154,15.4710408718597,21.0,21.0,0.0,0.0,-0.0,40.0
1,1,4.311188506349689,34.098941577065816,19.416994739003783,19.259381953283082,18.909420817437194,0.4372591903239272,0.6259097863313987,-0.0,48.71922493648246
1,2,3.524664059340214,33.61700679934285,20.760379683143615,18.0,18.0,1.920364962325629,0.008150626553915297,1.0,58.35209347337499
1,3,3.0272179616268238,35.44515142724666,24.827505106282526,18.0,15.830653121904303,3.0,3.0,1.0,53.14002304022249
1,4,3.082559734341235,32.503181227782214,30.0,18.0,18.438451137009423,2.8099252091128335,3.0,1.0,48.989101216257744
1,5,3.3083678532011027,30.24481328432489,29.73411686413934,19.465764614186618,19.47424043941531,3.0,3.0,1.0,45.23967383725854
1,6,4.192301144705626,24.59216549300006,29.67855933903202,20.729169913591672,20.716413237619353,0.0,3.0,-0.0,41.035881263982105
1,7,5.470418023367315,25.693215591757046,25.438845242704595,19.3831473248216,22.48870220453394,0.0,0.0,-0.0,50.804611733747876
1,8,6.3308398830607695,29.555435016300834,22.523491114894377,19.91473493031447,18.97798105941971,0.14038728324029748,0.0,0.0,60.00838268395098
1,9,7.047661207485221,26.97291570405082,18.75010821670726,18.0,18.0,0.0,0.0,-0.0,69.38258938756611
2,0,5.157535487108307,25.7342414983848,16.144992366405123,21.0,21.0,3.0,3.0,0.0,40.0
2,1,7.3321530013852945,22.844535639400753,19.673001215705757,22.114684829967697,21.922899847328104,0.0,0.0,0.0,47.53826209566218
2,2,8.648140847410337,28.60173119013869,21.42300550499739,20.002330971862705,19.996435778180683,0.0,0.0,0.0,55.19141872958136
2,3,7.884593167844987,24.350130853755847,23.510292489765714,18.47789028395751,18.33608432835929,0.8752746024095699,0.8495295830099079,0.0,64.19587133470584
2,4,6.095926729207571,34.47682771181968,22.089877515941293,18.0,18.0,1.5677583474511145,1.8154973513686787,1.0,72.81074753653972
2,5,4.919507707126695,32.21286023602414,21.621067257463682,18.0,18.0,1.5557427952795106,1.7675786548507233,1.0,67.99275447753678
2,6,4.594508577541502,37.020633654644946,21.88869592552539,18.0,18.0,1.5168822285946177,1.8195209831769157,1.0,62.68286142636467
2,7,4.360500787747049,35.76509059783254,21.116303834092513,18.0,18.0,0.9919930897308656,1.2849688250056643,-0.0,58.2865407507954
2,8,3.572867359133523,40.347095621587265,23.989495761154217,18.0,18.0,1.0857631858807153,1.4129151830893996,-0.0,68.52519174854191
2,9,3.301405384378153,35.797588669947196,25.974328291593814,18.0,18.0,-0.0,-0.0,1.0,80.10577819743538
3,0,7.199748919103557,27.721293233033787,22.818338600598924,21.0,21.0,0.0,0.0,-0.0,40.0
3,1,7.6479743854573785,26.389921148875032,25.80282108578918,19.154425864660677,19.056366772011977,0.5347588527295937,0.5170831261966999,-0.0,49.09713373005388
3,2,8.017705861,27.307563536933053,23.790638297941634,18.0,18.0,1.346553827573823,1.4168923323536522,-0.0,58.49182733229344
