,Intercept,T1,T2,H,Occ1,Occ2,price_t,price_previous,vent_counter,low_override_r1,low_override_r2
stage_0,66.10778962639596,-8.263473699130222,-8.263473699129214,9.443969949894061,4.4365410471726445,3.699734335202829,443.8573700008993,-207.6544254840066,3.7053468555941365e-09,3.7053468555941365e-09,3.7053468555941365e-09
stage_1,36.740250354908596,-12.974409380914857,-14.598787884741421,9.00908030852623,3.013407138069458,3.847179901105641,380.0418202716897,-88.08862329401447,3.7053468555941365e-09,3.7053468555941365e-09,3.7053468555941365e-09
stage_2,35.31976212742369,-6.20051113516449,-6.0577193454297,13.544240492214392,3.420979393156821,3.56898003913376,327.7026768281902,-18.94479507066645,6.26690399178038,-1.6526701054748076,-2.526390836346664
stage_3,15.846576017294295,-6.2221694751694745,-6.682648181788842,28.65125825942765,1.222034603542658,1.9096113603166045,270.9549223947094,-14.311111435796558,12.999213049970102,1.3732036660125513,3.219767530548526
stage_4,23.299213039707872,-16.63675101565392,-17.011925762653245,6.554745914206328,-5.2962259188127625,-2.1529662889902488,224.86601706469202,-12.74627063375345,-6.072115018353708,2.0387483546265845,2.1482054042266263
stage_5,14.853865966165694,-22.497563965208403,-23.257680244474777,12.049899580311925,1.0259070109674138,0.20406936721623534,161.30504615229398,-14.682249095777358,-10.008090559718646,4.265311776745993,0.7894683352257561
stage_6,8.3814818498625,-23.94978279284156,-31.440327479879926,29.700553416095346,2.4300811018316395,1.3441483592714398,106.9067868580227,-23.82625771375034,-8.46656222920771,14.961572881077766,4.678592769881081
stage_7,-5.042586569200512,-35.761547569891135,-11.488682337957421,29.224144294259148,5.605775790118043,1.9458192159812984,86.17359476105261,-23.566624082148984,-2.574560579951593,19.787995131634684,22.03738968023817
stage_8,-3.205570727827657,27.063769134433915,-48.52633121070302,25.090006881448982,0.46424281416299146,2.0904687683605725,58.55529920899019,-2.790645033120599,1.4953384643468466,25.923762956060806,9.540041068479821
stage_9,-6.4751310468706915,-7.00279772587423,6.821551751391672,3.6675440535629513,0.11023819167333915,0.07806430912086415,32.04767731922401,6.86312143216583,1.4853814843858841,18.057496873721497,11.67301426376793
