,Intercept,T1,T2,H,Occ1,Occ2,price_t,price_previous,vent_counter,low_override_r1,low_override_r2
stage_0,74.64983019310878,-9.331228774056452,-9.331228774056456,10.664261456220833,21.631771389773412,29.678869643238887,98.25874694967685,-10.552427050057585,7.302487209556574e-11,7.302487209556574e-11,7.302487209556574e-11
stage_1,49.793158140622374,-12.759677766521552,-21.06859907910538,13.50091963209386,12.581314215342074,22.668029720439115,81.836719731549,48.19830418111319,-0.5057301718689557,7.302487209556574e-11,7.302487209556574e-11
stage_2,37.09697206796034,-29.3778001291855,-28.38922651327439,19.466626089138437,11.46267488406793,18.647765629215037,64.3746710005786,52.81573722922699,-7.507833596420757,4.1763997036965,1.521295811001666
stage_3,29.51174644912231,-25.037925441725367,-26.310882074518634,23.50224256007489,13.038245127319483,18.50958450092411,56.17604233930464,50.01246913284606,-8.493578162393584,5.516047992738987,5.206426349109178
stage_4,26.351842880322376,-24.12415495546678,-21.87044823690377,21.534907998599813,7.438539843175372,13.447739273972811,52.39931305175877,48.101613527720964,-6.622591976821002,9.879652315826897,6.035303777380963
stage_5,17.873733794665124,-21.073163684576972,-21.615552401897578,17.854149086303913,5.366391793009862,7.346217075839941,38.54491777683717,36.17512473842363,1.6951655965570316,13.760979325541854,12.669332189875023
stage_6,10.437269667631695,-17.2897684168889,-15.943832155149027,14.43182005797318,3.488360498513226,3.9574306936907924,30.820022702743003,27.73849405756039,0.45831781984897935,14.123611239034807,12.481578653249512
stage_7,6.485033464761626,-13.314856937194508,-14.320055538913255,7.9476916120226395,1.6427837598456343,1.1730321332495581,22.319181251018296,19.01245362401136,-1.1213645386204139,11.423192590863358,11.196779597921921
stage_8,1.5342293231982687,-9.68322607017834,-8.924959834419788,9.948317937498562,1.8839936186650277,-0.2127537288445443,16.62757592292241,15.456478026989805,-5.0277766629612675,13.294749241475708,14.030063355455477
stage_9,-1.9681535014563578,-1.3012250418632756,-1.3409467080821185,3.093171842352619,0.45900148271477437,-0.24938715776964604,7.601981032454264,7.640178245147742,5.302066855590856,11.945225424727326,12.48191577948998
