Day,Hour,Price,Occupancy_R1,Occupancy_R2,Temp_Room1,Temp_Room2,Power_Heater1,Power_Heater2,Ventilation_On,Humidity,Cost
0,0,4.311188506349689,32.969097664154,15.4710408718597,21.0,21.0,0.0,0.0,0,40.0,0.0
0,1,3.524664059340214,34.098941577065816,19.416994739003783,19.259381953283082,18.909420817437194,0.0,0.0,0,48.71922493648246,0.0
0,2,3.0272179616268238,33.61700679934285,20.760379683143615,17.56274080967607,17.374090213668598,3.0,3.0,0,58.35209347337499,18.16330776976094
0,3,3.082559734341235,35.44515142724666,24.827505106282526,19.272911408778356,19.07237404525661,3.0,3.0,0,68.14002304022256,18.495358406047412
0,4,3.3083678532011027,32.503181227782214,30.0,21.02690597664489,20.87471425928213,3.0,3.0,1,78.98910121625781,26.46694282560882
0,5,4.192301144705626,30.24481328432489,29.73411686413934,22.025669071430876,22.02126296208406,0.0,0.0,1,75.23967383725861,8.384602289411252
0,6,5.470418023367315,24.59216549300006,29.67855933903202,20.0253547643662,20.016462668766533,0.0,0.0,1,71.03588126398216,10.94083604673463
0,7,6.3308398830607695,25.693215591757046,25.438845242704595,18.052032438742266,18.156427944342802,0.0,0.0,0,65.80461173374793,0.0
0,8,7.047661207485221,29.555435016300834,22.523491114894377,16.91603590837599,16.879629849714775,3.0,3.0,1,75.00838268395103,56.381289659881766
0,9,6.712330271902297,26.97291570405082,18.75010821670726,18.000992284355195,17.87127522392543,3.0,3.0,1,69.38258938756616,53.698642175218374
1,0,7.3321530013852945,25.7342414983848,16.144992366405123,21.0,21.0,0.0,0.0,0,40.0,0.0
1,1,8.648140847410337,22.844535639400753,19.673001215705757,19.114684829967697,18.922899847328104,0.0,0.0,0,47.53826209566218,0.0
1,2,7.884593167844987,28.60173119013869,21.42300550499739,17.302330971862702,17.296435778180683,3.0,3.0,0,55.19141872958136,47.307559007069926
1,3,6.095926729207571,24.350130853755847,23.510292489765714,19.04789028395751,18.90608432835929,3.0,3.0,0,64.19587133470586,36.57556037524543
1,4,4.919507707126695,34.47682771181968,22.089877515941293,20.637725397590426,20.663470416990094,3.0,3.0,1,72.81074753653974,39.35606165701356
1,5,4.594508577541502,32.21286023602414,21.621067257463682,21.821641522020062,21.566179012282593,3.0,3.0,1,67.9927544775367,36.756068620332016
1,6,4.360500787747049,37.020633654644946,21.88869592552539,22.730457068696058,22.59525996204609,0.0,0.0,1,62.68286142636451,8.721001575494098
1,7,3.572867359133523,35.76509059783254,21.116303834092513,20.659410869241853,20.397331246654456,0.0,0.0,0,58.28654075079517,0.0
1,8,3.301405384378153,40.347095621587265,23.989495761154217,19.244228919034363,19.029877070535786,0.0,0.0,0,68.52519174854167,0.0
1,9,3.5056575759904742,35.797588669947196,25.974328291593814,17.90543173215104,17.642585289491954,3.0,3.0,1,80.10577819743514,28.045260607923794
2,0,7.6479743854573785,27.721293233033787,22.818338600598924,21.0,21.0,0.0,0.0,0,40.0,0.0
2,1,8.017705861,26.389921148875032,25.80282108578918,19.154425864660677,19.05636677201198,0.0,0.0,0,49.09713373005388,0.0
2,2,8.275328396050925,27.307563536933053,23.790638297941634,17.465241147270408,17.4829168738033,3.0,3.0,0,58.49182733229344,49.651970376305556
2,3,8.302920910912846,29.69078795928531,23.286231067100058,19.18276864088928,19.107127418149584,3.0,3.0,0,67.68950366257089,49.817525465477075
2,4,7.654257442106276,27.937397972883993,21.629977523834345,20.90562790065472,20.80022912963293,3.0,3.0,1,77.22536708732025,61.23405953685021
2,5,6.167881551658359,31.100262650557788,23.35104297589282,21.853278905746336,21.758750128071885,3.0,3.0,1,71.14749467672955,49.343052413266875
