mean,std,max_time,avg_time
182.02,0.00,8.56,1.02
180.27,0.00,0.27,0.16
201.04,0.00,0.20,0.16
144.41,0.00,0.19,0.15
166.78,0.00,0.20,0.15
66.78,0.00,0.21,0.15
285.96,0.00,0.20,0.16
255.04,0.00,0.21,0.14
110.68,0.00,0.19,0.13
153.22,0.00,0.17,0.13
33.79,0.00,0.17,0.13
219.14,0.00,0.16,0.12
227.16,0.00,8.63,1.03
233.38,0.00,0.29,0.17
66.18,0.00,0.20,0.15
104.90,0.00,0.18,0.15
22.22,0.00,0.21,0.15
184.07,0.00,0.21,0.17
146.05,0.00,0.23,0.17
110.98,0.00,0.21,0.14
148.59,0.00,0.17,0.14
155.52,0.00,0.17,0.13
99.61,0.00,0.15,0.12
106.78,0.00,0.15,0.12
153.88,0.00,8.51,1.02
117.06,0.00,0.26,0.18
112.82,0.00,0.22,0.17
131.68,0.00,0.18,0.15
161.21,0.00,0.26,0.17
188.73,0.00,0.21,0.16
57.89,0.00,0.23,0.17
180.00,0.00,0.17,0.14
168.96,0.00,0.17,0.13
230.65,0.00,0.16,0.13
184.49,0.00,0.17,0.13
351.89,0.00,0.16,0.11
77.28,0.00,8.35,1.01
43.35,0.00,0.29,0.16
68.35,0.00,0.19,0.15
175.33,0.00,0.18,0.15
75.79,0.00,0.18,0.15
226.65,0.00,0.21,0.16
141.20,0.00,0.20,0.16
91.90,0.00,0.22,0.14
324.55,0.00,0.21,0.13
101.72,0.00,0.18,0.13
142.39,0.00,0.15,0.13
107.92,0.00,0.20,0.13
166.51,0.00,8.30,0.99
90.34,0.00,0.27,0.17
43.11,0.00,0.22,0.15
65.17,0.00,0.21,0.15
156.96,0.00,0.19,0.16
125.94,0.00,0.23,0.16
100.82,0.00,0.20,0.17
79.34,0.00,0.20,0.13
256.29,0.00,0.17,0.13
197.93,0.00,0.15,0.12
179.31,0.00,0.15,0.13
192.74,0.00,0.15,0.13
196.31,0.00,8.36,1.00
66.89,0.00,0.28,0.17
142.79,0.00,0.21,0.15
167.86,0.00,0.19,0.14
312.11,0.00,0.19,0.15
115.40,0.00,0.18,0.15
63.48,0.00,0.21,0.15
283.81,0.00,0.23,0.14
149.22,0.00,0.17,0.14
132.79,0.00,0.16,0.13
170.90,0.00,0.15,0.12
158.38,0.00,0.15,0.13
50.28,0.00,8.36,1.00
177.87,0.00,0.31,0.17
129.88,0.00,0.21,0.15
132.23,0.00,0.18,0.14
244.23,0.00,0.22,0.16
121.98,0.00,0.22,0.16
102.99,0.00,0.28,0.17
86.08,0.00,0.17,0.13
170.60,0.00,0.18,0.14
106.65,0.00,0.20,0.14
265.17,0.00,0.18,0.13
188.93,0.00,0.17,0.12
214.50,0.00,8.25,0.99
208.70,0.00,0.27,0.16
110.49,0.00,0.18,0.15
88.60,0.00,0.20,0.14
169.79,0.00,0.18,0.15
215.43,0.00,0.22,0.16
155.13,0.00,0.19,0.15
105.26,0.00,0.23,0.14
208.13,0.00,0.17,0.13
71.66,0.00,0.16,0.13
316.46,0.00,0.17,0.13
127.50,0.00,0.16,0.13
154.38,0.00,0.15,0.11
70.51,0.00,0.12,0.09
200.30,0.00,0.10,0.09
190.37,0.00,0.13,0.09
