mean,std,max_time,avg_time
182.02,0.00,5.55,0.92
180.27,0.00,0.59,0.44
201.04,0.00,0.73,0.52
144.41,0.00,0.65,0.45
166.78,0.00,0.65,0.42
66.78,0.00,0.63,0.44
285.96,0.00,5.33,0.96
261.61,0.00,0.53,0.39
110.68,0.00,0.74,0.52
153.22,0.00,0.50,0.40
33.79,0.00,0.49,0.38
219.14,0.00,0.77,0.52
227.16,0.00,5.13,0.91
233.38,0.00,0.58,0.43
66.18,0.00,0.68,0.49
104.90,0.00,0.63,0.46
22.22,0.00,0.70,0.45
184.07,0.00,0.73,0.46
146.05,0.00,5.63,0.87
110.98,0.00,0.61,0.44
148.59,0.00,0.62,0.47
155.52,0.00,0.61,0.45
99.61,0.00,0.53,0.43
106.78,0.00,0.82,0.53
153.88,0.00,5.50,0.89
117.06,0.00,0.57,0.42
112.82,0.00,0.65,0.45
131.68,0.00,0.58,0.43
161.21,0.00,0.66,0.43
188.73,0.00,0.64,0.50
57.89,0.00,5.23,0.89
180.00,0.00,0.60,0.43
168.96,0.00,0.67,0.49
230.65,0.00,0.62,0.45
184.49,0.00,0.57,0.43
351.89,0.00,0.64,0.46
77.28,0.00,5.07,0.86
43.35,0.00,0.71,0.49
68.35,0.00,0.70,0.49
175.33,0.00,0.70,0.49
75.79,0.00,0.65,0.42
194.14,0.00,0.60,0.41
141.20,0.00,4.83,0.86
91.90,0.00,0.61,0.46
324.55,0.00,0.76,0.51
101.72,0.00,0.51,0.39
142.39,0.00,0.71,0.44
107.92,0.00,0.67,0.47
166.51,0.00,4.68,0.83
90.34,0.00,0.69,0.43
43.11,0.00,0.62,0.48
65.17,0.00,0.68,0.45
156.96,0.00,0.50,0.40
125.94,0.00,0.65,0.47
100.82,0.00,4.56,0.86
79.34,0.00,0.67,0.48
256.29,0.00,0.56,0.44
197.93,0.00,0.63,0.46
179.31,0.00,0.68,0.42
235.60,0.00,0.77,0.46
196.31,0.00,5.07,0.87
66.89,0.00,0.60,0.40
142.79,0.00,0.61,0.48
167.86,0.00,0.55,0.42
312.11,0.00,0.62,0.43
115.40,0.00,0.67,0.48
63.48,0.00,4.80,0.87
283.81,0.00,0.68,0.46
149.22,0.00,0.58,0.42
132.79,0.00,0.65,0.45
170.90,0.00,0.63,0.47
158.38,0.00,0.65,0.44
50.28,0.00,4.72,0.87
177.87,0.00,0.61,0.44
129.88,0.00,0.68,0.48
132.23,0.00,0.60,0.47
244.23,0.00,0.67,0.44
121.98,0.00,0.66,0.42
102.99,0.00,4.32,0.84
86.08,0.00,0.59,0.45
170.60,0.00,0.69,0.51
106.65,0.00,0.59,0.45
265.17,0.00,0.65,0.44
188.93,0.00,0.55,0.41
214.50,0.00,4.11,0.75
208.70,0.00,0.65,0.44
110.49,0.00,0.84,0.51
88.60,0.00,0.59,0.46
169.79,0.00,0.55,0.41
215.43,0.00,0.66,0.47
155.13,0.00,4.64,0.82
105.26,0.00,0.76,0.44
208.13,0.00,0.74,0.53
71.66,0.00,0.57,0.46
316.46,0.00,0.62,0.45
127.50,0.00,0.72,0.41
154.38,0.00,0.09,0.07
70.51,0.00,0.07,0.05
200.30,0.00,0.06,0.05
190.37,0.00,0.06,0.05
