mean,std,max_time,avg_time
182.02,0.00,2.66,0.53
180.27,0.00,0.45,0.31
201.04,0.00,0.47,0.31
144.41,0.00,0.41,0.31
166.78,0.00,0.44,0.30
66.78,0.00,0.45,0.33
285.96,0.00,2.61,0.56
261.61,0.00,0.44,0.30
110.68,0.00,0.41,0.30
153.22,0.00,0.41,0.29
33.79,0.00,0.41,0.31
219.14,0.00,0.46,0.35
243.09,0.00,2.95,0.57
233.38,0.00,0.39,0.29
66.18,0.00,0.46,0.31
104.90,0.00,0.39,0.32
22.22,0.00,0.36,0.31
184.07,0.00,0.48,0.36
146.05,0.00,2.90,0.56
110.98,0.00,0.42,0.31
148.59,0.00,0.45,0.32
155.52,0.00,0.39,0.30
99.61,0.00,0.38,0.31
106.78,0.00,0.46,0.34
153.88,0.00,2.86,0.58
117.06,0.00,0.42,0.32
112.82,0.00,0.36,0.31
131.68,0.00,0.45,0.32
161.21,0.00,0.41,0.32
188.73,0.00,0.51,0.31
57.89,0.00,2.81,0.57
180.00,0.00,0.48,0.35
168.96,0.00,0.40,0.32
230.65,0.00,0.41,0.29
184.49,0.00,0.39,0.30
351.89,0.00,0.50,0.32
77.28,0.00,2.89,0.59
43.35,0.00,0.43,0.33
68.35,0.00,0.38,0.32
175.33,0.00,0.50,0.34
75.79,0.00,0.38,0.31
226.65,0.00,0.47,0.28
141.20,0.00,2.91,0.58
91.90,0.00,0.38,0.32
324.55,0.00,0.42,0.32
101.72,0.00,0.46,0.32
142.39,0.00,0.39,0.32
107.92,0.00,0.45,0.30
166.51,0.00,2.75,0.55
90.34,0.00,0.39,0.31
43.11,0.00,0.41,0.30
65.17,0.00,0.41,0.31
156.96,0.00,0.38,0.30
125.94,0.00,0.52,0.35
100.82,0.00,2.81,0.56
79.34,0.00,0.46,0.34
256.29,0.00,0.41,0.31
197.93,0.00,0.37,0.31
179.31,0.00,0.42,0.32
235.60,0.00,0.52,0.30
196.31,0.00,2.60,0.53
66.89,0.00,0.37,0.28
142.79,0.00,0.45,0.32
167.86,0.00,0.38,0.31
312.11,0.00,0.44,0.31
115.40,0.00,0.49,0.35
63.48,0.00,2.41,0.51
283.81,0.00,0.40,0.31
149.22,0.00,0.44,0.34
132.79,0.00,0.38,0.31
170.90,0.00,0.41,0.31
158.38,0.00,0.55,0.33
50.28,0.00,2.73,0.55
177.87,0.00,0.45,0.31
129.88,0.00,0.37,0.30
132.23,0.00,0.40,0.31
244.23,0.00,0.39,0.32
121.98,0.00,0.45,0.31
102.99,0.00,2.68,0.55
86.08,0.00,0.44,0.31
170.60,0.00,0.40,0.29
106.65,0.00,0.43,0.35
265.17,0.00,0.40,0.30
188.93,0.00,0.45,0.31
214.50,0.00,2.62,0.49
208.70,0.00,0.39,0.30
110.49,0.00,0.48,0.33
88.60,0.00,0.41,0.32
169.79,0.00,0.41,0.30
215.43,0.00,0.46,0.35
155.13,0.00,2.55,0.51
105.26,0.00,0.44,0.33
195.77,0.00,0.41,0.30
71.66,0.00,0.48,0.33
316.46,0.00,0.44,0.33
127.50,0.00,0.50,0.31
154.38,0.00,0.10,0.06
70.51,0.00,0.07,0.05
200.30,0.00,0.06,0.05
190.37,0.00,0.07,0.06
