mean,std,max_time,avg_time
212.15,0.00,2.55,0.98
256.46,0.00,1.08,0.78
318.18,0.00,1.06,0.82
212.22,0.00,1.11,0.80
263.54,0.00,1.00,0.78
124.87,0.00,1.06,0.78
370.85,0.00,1.07,0.79
343.67,0.00,1.04,0.84
189.62,0.00,1.12,0.82
259.38,0.00,1.07,0.75
58.86,0.00,0.94,0.76
271.15,0.00,1.09,0.79
321.45,0.00,2.66,0.99
332.91,0.00,1.07,0.77
87.77,0.00,1.18,0.84
176.30,0.00,1.01,0.78
33.22,0.00,1.14,0.78
294.86,0.00,1.05,0.82
226.37,0.00,1.00,0.82
163.57,0.00,1.05,0.83
230.65,0.00,1.13,0.82
238.13,0.00,1.11,0.77
142.07,0.00,0.95,0.78
194.18,0.00,0.96,0.78
187.22,0.00,2.67,0.98
177.69,0.00,1.00,0.77
191.46,0.00,1.07,0.81
189.96,0.00,1.12,0.84
267.58,0.00,1.12,0.80
286.62,0.00,1.06,0.83
110.73,0.00,0.99,0.82
293.70,0.00,1.12,0.82
255.77,0.00,1.06,0.82
315.17,0.00,0.94,0.76
283.74,0.00,0.98,0.80
423.83,0.00,0.97,0.77
121.22,0.00,2.94,1.00
55.69,0.00,0.97,0.77
119.46,0.00,1.00,0.82
276.28,0.00,0.98,0.79
138.25,0.00,1.06,0.82
279.89,0.00,1.06,0.83
187.75,0.00,1.08,0.80
157.61,0.00,1.11,0.83
404.03,0.00,1.13,0.80
160.93,0.00,0.96,0.73
223.70,0.00,1.00,0.78
158.77,0.00,1.12,0.79
247.40,0.00,2.93,1.00
151.01,0.00,0.97,0.77
57.28,0.00,1.14,0.82
115.01,0.00,1.13,0.85
249.81,0.00,1.00,0.79
207.27,0.00,1.06,0.84
167.36,0.00,1.15,0.83
94.83,0.00,1.08,0.85
348.72,0.00,0.97,0.80
296.13,0.00,1.12,0.81
284.51,0.00,0.97,0.76
309.62,0.00,1.06,0.72
297.86,0.00,2.97,1.01
126.17,0.00,1.05,0.79
197.34,0.00,1.10,0.83
244.30,0.00,1.19,0.80
393.92,0.00,1.06,0.81
194.26,0.00,1.03,0.82
106.58,0.00,1.01,0.79
363.96,0.00,1.17,0.85
220.75,0.00,0.96,0.78
219.15,0.00,1.02,0.78
274.46,0.00,0.93,0.77
256.46,0.00,1.14,0.75
82.47,0.00,2.83,0.97
227.32,0.00,1.00,0.79
219.57,0.00,1.05,0.85
199.94,0.00,0.98,0.76
384.19,0.00,1.09,0.79
199.88,0.00,1.07,0.81
174.73,0.00,1.01,0.81
97.46,0.00,0.96,0.79
270.89,0.00,1.18,0.83
177.65,0.00,1.21,0.77
370.30,0.00,1.02,0.79
277.36,0.00,1.00,0.78
291.70,0.00,2.83,1.00
305.43,0.00,1.06,0.79
158.45,0.00,1.09,0.85
160.84,0.00,1.08,0.77
288.51,0.00,0.97,0.79
317.63,0.00,1.04,0.82
216.97,0.00,1.11,0.80
149.16,0.00,1.05,0.81
262.10,0.00,1.08,0.82
138.47,0.00,0.94,0.76
421.58,0.00,1.03,0.78
196.22,0.00,1.15,0.77
229.20,0.00,0.43,0.32
79.77,0.00,0.43,0.32
289.00,0.00,0.45,0.31
255.46,0.00,0.40,0.31
