Day,Hour,Price,Occupancy_R1,Occupancy_R2,Temp_Room1,Temp_Room2,Power_Heater1,Power_Heater2,Ventilation_On,Humidity,Cost
1,0,4.311188506349689,32.969097664154,15.4710408718597,21.0,21.0,0.0,0.0,1.0,40.0,110.44646603789174
1,1,3.524664059340214,34.098941577065816,19.416994739003783,18.559381953283083,18.209420817437195,0.0,0.0,1.0,33.71922493648246,110.44646603789174
1,2,3.0272179616268238,33.61700679934285,20.760379683143615,16.232740809676073,16.0440902136686,3.0,3.0,1.0,28.352093473374993,110.44646603789174
1,3,3.082559734341235,35.44515142724666,24.827505106282526,17.375911408778354,17.17537404525661,3.0,3.0,1.0,23.140023040222548,110.44646603789174
1,4,3.3083678532011027,32.503181227782214,30.0,18.61960597664489,18.467414259282133,3.0,3.0,-0.0,18.9891012162578,110.44646603789174
1,5,4.192301144705626,30.24481328432489,29.73411686413934,20.559099071430875,20.554692962084058,3.0,3.0,-0.0,30.2396738372586,110.44646603789174
1,6,5.470418023367315,24.59216549300006,29.67855933903202,22.4054417643662,22.396549668766532,0.0,0.0,-0.0,41.03588126398216,110.44646603789174
1,7,6.3308398830607695,25.693215591757046,25.438845242704595,20.894110738742263,20.998506244342803,0.0,0.0,-0.0,50.80461173374793,110.44646603789174
1,8,7.047661207485221,29.555435016300834,22.523491114894377,19.473906378375982,19.43750031971478,0.0,0.1266413530745714,-0.0,60.008382683951034,110.44646603789174
1,9,6.712330271902297,26.97291570405082,18.75010821670726,18.003075707355194,18.0,0.0,0.0,-0.0,69.38258938756617,110.44646603789174
2,0,7.3321530013852945,25.7342414983848,16.144992366405123,21.0,21.0,0.7882882394459352,0.7686375938391936,-0.0,40.0,145.95971307327417
2,1,8.648140847410337,22.844535639400753,19.673001215705757,19.902973069413633,19.6915374411673,0.0,0.0,-0.0,47.53826209566218,145.95971307327417
2,2,7.884593167844987,28.60173119013869,21.42300550499739,18.0,18.0,1.320670474509711,1.464244988212537,-0.0,55.19141872958136,145.95971307327417
2,3,6.095926729207571,24.350130853755847,23.510292489765714,18.0,18.0,1.2202922846123982,1.2370890518922018,0.0,64.19587133470588,145.95971307327417
2,4,4.919507707126695,34.47682771181968,22.089877515941293,18.0,18.0,1.567758347451122,1.8154973513686898,1.0,72.81074753653976,145.95971307327417
2,5,4.594508577541502,32.21286023602414,21.621067257463682,18.0,18.0,1.5557427952795173,1.7675786548507264,1.0,67.99275447753674,145.95971307327417
2,6,4.360500787747049,37.020633654644946,21.88869592552539,18.0,18.0,1.5168822285946177,1.8195209831770072,1.0,62.68286142636454,145.95971307327417
2,7,3.572867359133523,35.76509059783254,21.116303834092513,18.0,18.0,0.9919930897308653,1.2849688250056661,-0.0,58.2865407507952,145.95971307327417
2,8,3.301405384378153,40.347095621587265,23.989495761154217,18.0,18.0,1.0857631858807397,1.4129151830893996,-0.0,68.5251917485417,145.95971307327417
2,9,3.5056575759904742,35.797588669947196,25.974328291593814,18.0,18.0,0.0,0.0,1.0,80.10577819743517,145.95971307327417
3,0,7.6479743854573785,27.721293233033787,22.818338600598924,21.0,21.0,0.0,0.0,-0.0,40.0,193.1872265016622
3,1,8.017705861,26.389921148875032,25.80282108578918,19.154425864660677,19.056366772011977,0.5347588527295937,0.5170831261967006,-0.0,49.09713373005388,193.1872265016622
3,2,8.275328396050925,27.307563536933053,23.790638297941634,18.0,18.0,1.3465538275738238,1.416892332353651,-0.0,58.49182733229344,193.1872265016622
3,3,8.302920910912846,29.69078795928531,23.286231067100058,18.0,18.0,1.1134791425018102,1.2415702803455153,0.0,67.68950366257093,193.1872265016622
3,4,7.654257442106276,27.937397972883993,21.629977523834345,18.0,18.0,1.6985469422298358,1.8246953512108288,1.0,77.2253670873203,193.1872265016622
3,5,6.167881551658359,31.100262650557788,23.35104297589282,18.0,18.0,1.577994746988846,1.7329791404821435,1.0,71.1474946767296,193.1872265016622
3,6,6.241061387746969,25.032606994366216,22.26226348177931,18.0,18.0,1.7566427618001934,1.8120496320519295,1.0,65.9487296894907,193.1872265016622
3,7,4.8338865423944295,26.46592526731451,22.386144388702185,18.0,18.0,1.1779763963412258,1.2595720139134727,-0.0,59.4618063751969,193.1872265016622
3,8,4.217550966233871,25.930922895586534,18.918147165354213,18.0,18.0,1.3740866404007543,1.5143421550054006,-0.0,68.2551789132799,193.1872265016622
3,9,4.289198920373119,32.362336053017174,16.345033352656657,18.0,18.0,0.0,-0.0,1.0,76.32801152424923,193.1872265016622
4,0,3.3048012340210855,32.26903443186937,16.978933102062314,21.0,21.0,0.0,0.0,1.0,40.0,124.74903303574924
4,1,3.382099322077719,33.350904657636065,21.705784834987917,18.545380688637383,18.239578662041247,1.7683256013437967,1.9094873898179185,1.0,33.864634156107705,124.74903303574924
4,2,3.4538076971036067,30.62293243831953,25.37128895299335,18.0,18.0,2.999999999999998,2.9999999999999964,1.0,28.774838264780023,124.74903303574924
4,3,4.115665861886264,33.82197200642916,26.56330134276599,19.019753550453903,18.91472068074738,0.8760969879743168,0.9897605403356227,1.0,23.85379811521633,124.74903303574924
4,4,4.358241910538685,35.765225339686424,30.0,18.0,18.0,1.9778537103967189,1.821575837851,-0.0,19.723147318071454,124.74903303574924
4,5,5.112308244964565,32.03362218255116,27.959886492459493,19.13586331550293,18.864280936163482,0.0,0.0,-0.0,31.56088787921501,124.74903303574924
4,6,5.275780035,31.57855164606743,25.377559558274285,18.0,18.0,0.9257238687661662,1.0497437105220282,-0.0,42.35971944071693,124.74903303574924
4,7,4.389079756,35.46929499083572,26.55382495872718,18.0,18.0,0.9979090018708003,1.176218402512971,-0.0,52.61181945749844,124.74903303574924
4,8,4.156893335917718,31.929797814504514,27.62621569512222,18.0,18.0,1.2541091420223947,1.3401807844100424,0.0,63.77598104841976,124.74903303574924
4,9,4.0439465371615455,32.215008627000515,30.0,18.0,18.0,-0.0,-0.0,1.0,74.49606348015257,124.74903303574924
5,0,6.769341992482144,31.365327650566044,22.007154082152155,21.0,21.0,0.0,0.0,0.0,40.0,161.26690901200016
5,1,7.224936543967067,31.633591567781178,24.303463872958442,19.22730655301132,19.040143081643045,0.4177554520676363,0.5082089645536083,0.0,49.607046711889275,161.26690901200016
5,2,6.859592786501511,36.351463928442385,28.94298127296512,18.0,18.0,1.1656758197436368,1.3138454728531812,0.0,59.675716691222405,161.26690901200016
5,3,6.614926951011565,41.51534535158693,28.31894209058969,18.0,18.0,1.5769879946557772,1.8409160598757204,1.0,71.4287168274758,161.26690901200016
5,4,5.722686684749252,35.319450745222504,30.0,18.0,18.0,1.5509058867830667,1.6572949016875158,1.0,68.99888856706758,161.26690901200016
5,5,5.055002876401586,37.37420676699273,23.27484619726643,18.0,18.0,1.452515864660145,1.7345030760546702,1.0,65.75638970120764,161.26690901200016
5,6,4.097149072681395,39.33264963313126,24.774068632747117,18.0,18.0,1.4706419090248914,1.7618135290325725,1.0,61.67321923477428,161.26690901200016
5,7,2.9332928388326955,38.29068417179338,28.890937409379404,18.0,18.0,3.0,2.9999999999999987,1.0,58.21242852263239,161.26690901200016
5,8,3.3875229582215765,35.002111755189766,28.660241505949053,19.35851878174835,19.17052384650007,0.08279292078414002,0.1532318451944702,0.0,55.30512040724349,161.26690901200016
5,9,3.819165767252922,36.35705484637751,25.931235655029987,18.0,18.0,0.0,-0.0,-0.0,66.76434399424848,161.26690901200016
6,0,6.053035409,32.81367886473842,16.657447977782923,21.0,21.0,0.0,0.0,-0.0,40.0,47.44428166908565
6,1,4.233234238138066,31.606218228676816,19.96428241608611,19.25627357729477,18.93314895955566,0.47380928481712054,0.6097106157472024,-0.0,48.90480283165384,47.44428166908565
6,2,2.4661025689868654,33.86182316647451,20.925934954490288,18.0,18.0,1.2154686349829946,0.20760379840915077,0.0,58.18749294771116,47.44428166908565
6,3,0.798518197,35.28074154611529,23.09794250018918,18.0,16.73341739918647,3.0,3.0,1.0,68.04928940948483,47.44428166908565
6,4,0.6557757408914365,33.91224422051305,22.42086331979994,18.538370368746673,18.674689168072213,3.0,3.0,1.0,63.557452537819636,47.44428166908565
6,5,1.1717751016307383,30.050576373092493,25.934881365978743,19.987274594190076,19.71655133637815,3.0,3.0,1.0,58.69741189507597,47.44428166908565
6,6,1.8619332025219248,27.15033819019525,26.66058708679685,21.027124707545767,21.026027784747065,1.6945558814862902,3.0,1.0,53.774794288108794,47.44428166908565
6,7,2.429613073165737,30.809830415752778,24.771664835559893,20.704021826714648,22.0,0.41794770587083696,0.0,1.0,48.46076083796737,47.44428166908565
6,8,3.3176841873575342,39.74787077635845,25.835303734454218,19.838055960512772,18.91055149105247,0.0,0.0,-0.0,43.46542998320365,47.44428166908565
6,9,4.35395057,38.642500379275994,23.630791157105108,18.0,18.0,-0.0,0.0,-0.0,55.27040139514993,47.44428166908565
7,0,7.267481148619879,29.01257819165574,17.67497995388691,21.0,21.0,3.0,3.0,-0.0,40.0,221.82448532085147
7,1,11.011881008803204,27.85689903172367,23.974966843785936,22.180251563833117,21.953499599077738,0.0,0.0,-0.0,48.40376046619768,221.82448532085147
7,2,12.0,31.182821042346838,25.884227092508535,20.14060811091857,20.13099505658643,0.0,0.0,-0.0,57.73349632378941,221.82448532085147
7,3,10.928046748362025,27.98713844472981,24.989743376642245,18.65173078976188,18.54864282706476,0.6228471996254981,0.6518687121781142,-0.0,68.00556498806347,221.82448532085147
7,4,9.323647218966974,32.77745991641811,24.364741004408312,18.0,18.0,1.6017457033591536,1.770000081599349,1.0,77.54140371591043,221.82448532085147
7,5,7.553340719034881,32.079336702378924,25.35062538847351,18.0,18.0,1.5584132659524215,1.6929874922305288,1.0,72.82699988165919,221.82448532085147
7,6,6.132322371908845,30.61203285489704,25.1049319935709,18.0,18.0,1.6450542445895748,1.755196261816098,1.0,68.16439305801262,221.82448532085147
7,7,5.283389392039514,30.453227872145575,26.515145389293345,18.0,18.0,1.7982303442446046,1.8769919939016475,1.0,63.19344673073685,221.82448532085147
7,8,4.362409173376318,30.45012968760041,27.7107732889908,18.0,18.0,1.2837025045604769,1.338489632532669,-0.0,58.44775391779576,221.82448532085147
7,9,3.3666970512501817,30.312258657576635,30.0,18.0,18.0,-0.0,-0.0,-0.0,68.91671645358234,221.82448532085147
8,0,7.090128116,30.779173783334635,20.680614680722346,21.0,21.0,1.4487704050591361,3.0,0.0,40.0,212.49838857585897
8,1,9.193204237929365,31.01902742537257,18.15754998488469,20.66435388072583,22.013612293614454,0.0,0.0,0.0,49.262761923530256,212.49838857585897
8,2,9.641724166967741,34.16376251975196,22.508321741686643,19.785148990581394,19.123141917905045,0.0,0.03450669375840154,0.0,58.11454585737656,212.49838857585897
