mean,std,max_time,avg_time
182.02,0.00,3.68,0.68
180.27,0.00,0.44,0.33
201.04,0.00,0.50,0.35
144.41,0.00,0.51,0.35
166.78,0.00,0.42,0.33
66.78,0.00,0.60,0.40
285.96,0.00,3.48,0.66
255.04,0.00,0.48,0.31
110.68,0.00,0.43,0.35
153.22,0.00,0.46,0.33
33.79,0.00,0.39,0.32
219.14,0.00,0.49,0.38
243.09,0.00,3.55,0.71
233.38,0.00,0.43,0.32
66.18,0.00,0.44,0.33
104.90,0.00,0.47,0.32
22.22,0.00,0.55,0.39
184.07,0.00,0.47,0.37
146.05,0.00,3.60,0.70
110.98,0.00,0.41,0.31
148.59,0.00,0.46,0.36
155.52,0.00,0.46,0.31
99.61,0.00,0.41,0.34
106.78,0.00,0.59,0.41
153.88,0.00,3.60,0.71
117.06,0.00,0.47,0.33
112.82,0.00,0.44,0.34
131.68,0.00,0.49,0.35
161.21,0.00,0.40,0.34
188.73,0.00,0.64,0.40
57.89,0.00,3.73,0.73
180.00,0.00,0.44,0.33
168.96,0.00,0.48,0.35
230.65,0.00,0.44,0.34
184.49,0.00,0.45,0.36
351.89,0.00,0.66,0.35
77.28,0.00,3.75,0.70
43.35,0.00,0.44,0.34
68.35,0.00,0.63,0.34
175.33,0.00,0.44,0.34
75.79,0.00,0.40,0.32
194.14,0.00,0.69,0.39
141.20,0.00,3.63,0.69
91.90,0.00,0.47,0.33
324.55,0.00,0.41,0.33
101.72,0.00,0.55,0.34
142.39,0.00,0.48,0.35
107.92,0.00,0.68,0.39
166.51,0.00,3.34,0.66
90.34,0.00,0.41,0.32
43.11,0.00,0.48,0.36
65.17,0.00,0.49,0.37
156.96,0.00,0.49,0.37
125.94,0.00,0.59,0.38
100.82,0.00,3.61,0.66
79.34,0.00,0.43,0.33
267.07,0.00,0.43,0.33
197.93,0.00,0.45,0.33
179.31,0.00,0.52,0.35
192.74,0.00,0.62,0.41
196.31,0.00,3.41,0.66
66.89,0.00,0.46,0.32
142.79,0.00,0.42,0.32
167.86,0.00,0.49,0.32
312.11,0.00,0.44,0.34
115.40,0.00,0.66,0.42
63.48,0.00,3.31,0.63
283.81,0.00,0.46,0.35
149.22,0.00,0.43,0.34
132.79,0.00,0.48,0.37
170.90,0.00,0.46,0.35
158.38,0.00,0.64,0.39
50.28,0.00,3.55,0.68
177.87,0.00,0.45,0.32
129.88,0.00,0.50,0.37
132.23,0.00,0.43,0.35
244.23,0.00,0.46,0.35
121.98,0.00,0.61,0.36
102.99,0.00,3.42,0.66
86.08,0.00,0.43,0.31
170.60,0.00,0.45,0.34
106.65,0.00,0.44,0.33
265.17,0.00,0.41,0.34
188.93,0.00,0.64,0.40
214.50,0.00,3.03,0.62
208.70,0.00,0.40,0.33
110.49,0.00,0.46,0.34
88.60,0.00,0.45,0.33
169.79,0.00,0.53,0.37
215.43,0.00,0.70,0.42
155.13,0.00,3.13,0.63
105.26,0.00,0.39,0.32
195.77,0.00,0.55,0.35
71.66,0.00,0.54,0.35
316.46,0.00,0.44,0.35
127.50,0.00,0.72,0.39
154.38,0.00,0.24,0.08
70.51,0.00,0.06,0.05
200.30,0.00,0.06,0.05
190.37,0.00,0.07,0.05
